Feature,Coefficient,Odds Ratio
Race_Black,1.582859463691113,4.868858248385938
Race_Indian,0.9398841896095856,2.5596849630483933
Family_History,0.9241553486075141,2.519739060162913
Vitamin_D_Deficient,0.4396963211500902,1.5522357657577102
BMI,0.2630672530999519,1.3009142065229462
Hypertension,0.24505294116905205,1.2776889537612828
PCOS,0.2303666302341745,1.259061535345266
Age,0.2254408215860515,1.2528748887737193
Stress_Level,0.1428877759252723,1.1536003326714377
Smoking,-0.11924283907378076,0.887592232513174
Race_Hispanic,-0.127552584994588,0.8802471268267779
Diet_Quality,-0.17407265751417042,0.8402358459926405
Physical_Activity,-0.189782921077405,0.8271386688271034
Menarche_Age,-0.19161487901407567,0.8256247726984275
Parity,-0.24431754716883725,0.783238879480562
Race_White,-0.4760602525122441,0.6212260506895748
Race_Other,-0.7374140567986096,0.4783493016379004
